elo_diff,h2h_home_win_rate,h2h_total_games,home_venue_win_rate,away_venue_win_rate,rolling_margin_diff,rolling_score_for_diff,rolling_score_against_diff,rolling_win_rate_diff,streak_diff,rest_diff,ladder_position_diff,venue_encoded,away_interstate,home_interstate
68.7,0.8181818181818182,11.0,0.5581395348837209,0.2962962962962963,-17.8,-4.1000000000000085,13.700000000000003,-0.09999999999999998,-2.0,-1.0,-13.0,6.0,1.0,0.0
85.6,0.875,8.0,0.6923076923076923,0.625,23.0,11.5,-11.5,0.19999999999999996,0.0,0.0,2.0,13.0,0.0,0.0
-124.6,0.25,8.0,0.4,0.75,-13.099999999999998,-11.5,1.5999999999999943,-0.19999999999999998,-7.0,0.0,-7.0,4.0,1.0,0.0
-26.3,0.45454545454545453,11.0,0.7058823529411765,0.5555555555555556,-25.200000000000003,-8.299999999999997,16.900000000000006,0.0,-1.0,1.0,-11.0,0.0,1.0,0.0
43.6,0.5714285714285714,7.0,0.3684210526315789,0.4074074074074074,-1.7999999999999998,-1.7000000000000028,0.09999999999999432,0.09999999999999998,-1.0,0.0,-1.0,13.0,0.0,0.0
-39.9,0.46153846153846156,13.0,0.5272727272727272,0.3888888888888889,2.8000000000000007,-3.1000000000000085,-5.8999999999999915,-0.09999999999999998,0.0,2.0,2.0,13.0,1.0,0.0
-228.5,0.1,10.0,0.3508771929824561,0.7272727272727273,-33.9,-10.299999999999997,23.60000000000001,-0.30000000000000004,-2.0,-1.0,-1.0,6.0,1.0,0.0
-118.2,0.2222222222222222,9.0,0.35365853658536583,0.6666666666666666,4.800000000000001,16.900000000000006,12.099999999999994,0.09999999999999998,0.0,-1.0,1.0,9.0,1.0,0.0
-62.7,0.3,10.0,0.543859649122807,0.6,0.9000000000000004,-7.8999999999999915,-8.799999999999997,-0.20000000000000007,0.0,-2.0,4.0,23.0,1.0,0.0
168.6,0.75,8.0,0.5306122448979592,0.23529411764705882,24.700000000000003,15.400000000000006,-9.300000000000011,0.3,1.0,0.0,7.0,6.0,1.0,0.0
106.2,0.7777777777777778,9.0,0.6847826086956522,0.5625,19.5,1.5999999999999943,-17.900000000000006,0.29999999999999993,1.0,0.0,8.0,13.0,0.0,0.0
-11.4,0.5,8.0,0.6111111111111112,0.0,-8.1,-5.6000000000000085,2.5,0.0,-3.0,-1.0,-2.0,17.0,1.0,0.0
26.0,1.0,7.0,0.72,0.0,-13.9,-19.0,-5.099999999999994,-0.09999999999999998,5.0,-1.0,6.0,19.0,1.0,0.0
70.0,0.375,8.0,0.5225225225225225,0.6470588235294118,19.5,9.5,-10.0,0.09999999999999998,0.0,1.0,-6.0,13.0,0.0,0.0
12.5,0.875,8.0,0.847457627118644,0.2,16.000000000000004,11.799999999999997,-4.200000000000003,0.09999999999999998,2.0,2.0,3.0,12.0,1.0,0.0
68.8,0.625,8.0,0.41818181818181815,0.3076923076923077,9.3,4.0,-5.299999999999997,0.09999999999999998,-2.0,1.0,-13.0,13.0,1.0,0.0
-93.5,0.4444444444444444,9.0,0.582089552238806,0.3333333333333333,-9.0,-13.099999999999994,-4.099999999999994,-0.39999999999999997,1.0,0.0,8.0,0.0,1.0,0.0
-102.8,0.36363636363636365,11.0,0.5517241379310345,0.6111111111111112,-21.9,-9.300000000000011,12.599999999999994,-0.3,-2.0,-3.0,-4.0,6.0,1.0,0.0
185.5,0.5714285714285714,14.0,0.65,0.631578947368421,35.400000000000006,21.0,-14.400000000000006,0.4,1.0,1.0,-1.0,17.0,0.0,0.0
63.7,0.4444444444444444,9.0,0.40789473684210525,0.6,10.0,-0.8000000000000043,-10.799999999999997,0.19999999999999998,9.0,-1.0,8.0,4.0,1.0,0.0
-149.3,0.125,8.0,0.45054945054945056,0.782608695652174,-16.5,-7.1000000000000085,9.399999999999991,-0.39999999999999997,-2.0,0.0,-4.0,6.0,0.0,0.0
-142.0,0.125,8.0,0.3614457831325301,1.0,-18.6,4.400000000000006,23.0,-0.19999999999999996,-2.0,-1.0,4.0,9.0,1.0,0.0
128.8,0.7,10.0,0.6666666666666666,0.0,18.3,6.8999999999999915,-11.400000000000006,0.5,5.0,0.0,8.0,17.0,1.0,0.0
-63.1,0.6,10.0,0.5568181818181818,0.44285714285714284,-22.9,-14.5,8.399999999999991,-0.19999999999999996,-1.0,0.0,-5.0,6.0,0.0,0.0
169.9,0.5,8.0,0.5909090909090909,0.0,35.400000000000006,15.400000000000006,-20.0,0.3,3.0,0.0,7.0,14.0,1.0,1.0
93.8,0.25,12.0,0.3645833333333333,0.42105263157894735,11.899999999999999,10.5,-1.3999999999999915,0.2,0.0,3.0,-9.0,13.0,0.0,0.0
95.7,0.5555555555555556,9.0,0.6,0.7391304347826086,14.3,17.200000000000003,2.8999999999999915,0.29999999999999993,2.0,-2.0,2.0,6.0,1.0,0.0
142.9,1.0,9.0,0.6956521739130435,0.0,33.0,26.499999999999993,-6.5,0.09999999999999998,-5.0,1.0,-6.0,0.0,1.0,0.0
186.2,0.75,8.0,0.5252525252525253,0.3448275862068966,33.7,12.999999999999993,-20.700000000000003,0.4,6.0,2.0,4.0,6.0,0.0,0.0
-35.9,0.4375,16.0,0.6881720430107527,0.5319148936170213,-35.300000000000004,-17.400000000000006,17.9,0.0,0.0,-1.0,-11.0,13.0,0.0,0.0
119.2,0.625,8.0,0.6407766990291263,0.36082474226804123,13.0,6.6000000000000085,-6.400000000000006,0.19999999999999996,3.0,0.0,7.0,13.0,0.0,0.0
-44.1,0.38461538461538464,13.0,0.42857142857142855,0.5267857142857143,0.7999999999999989,14.299999999999997,13.5,0.0,1.0,-1.0,-3.0,13.0,0.0,0.0
80.1,0.7142857142857143,7.0,0.5735294117647058,0.0,13.8,2.1000000000000085,-11.700000000000003,0.0,2.0,0.0,12.0,0.0,1.0,0.0
-49.8,0.35714285714285715,14.0,0.4155844155844156,0.5714285714285714,-24.9,-26.800000000000004,-1.8999999999999915,-0.10000000000000003,1.0,-3.0,-1.0,4.0,0.0,0.0
-69.9,0.0,8.0,0.45652173913043476,0.5789473684210527,-19.8,-13.799999999999997,6.0,-0.09999999999999998,1.0,1.0,8.0,6.0,1.0,0.0
-63.9,0.6875,16.0,0.7105263157894737,0.2857142857142857,-13.2,-10.199999999999989,3.0,-0.09999999999999998,-1.0,0.0,-7.0,19.0,0.0,0.0
4.4,0.875,8.0,0.6,0.0,-12.0,-0.5,11.5,-0.09999999999999998,4.0,1.0,6.0,17.0,1.0,0.0
